year_played,pitch_id,pitchername,pitchtype,IVB,IHB
2023,7065060,Zack Greinke,CU,-15.38508,12.973616
2023,7065061,Zack Greinke,FC,1.578201,9.8260975
2023,7065062,Zack Greinke,SL,-4.5393496,14.079004
2023,7065063,Zack Greinke,CU,-14.714997,13.969303
2023,7065064,Zack Greinke,CH,-0.5831425,-12.211078
2023,7065146,Zack Greinke,FC,3.405095,8.831565
2023,7065065,Zack Greinke,SI,11.456838,-13.291706
2023,7065066,Zack Greinke,FF,16.855465,0.09317229
2023,7065067,Zack Greinke,FC,2.8876903,8.521119
2023,7065068,Zack Greinke,SL,2.9594636,14.991486
2023,7065147,Zack Greinke,FC,6.660382,6.9419827
2023,7065148,Zack Greinke,CU,-13.09879,13.999549
2023,7065024,Zack Greinke,SL,4.585128,14.515543
2023,7065081,Zack Greinke,CU,-16.43593,16.604189
2023,7065082,Zack Greinke,CH,9.697979,-14.320025
2023,7065149,Zack Greinke,CU,-12.561383,13.822531
2023,7065150,Zack Greinke,SI,10.021955,-19.584631
2023,7065151,Zack Greinke,CH,8.437407,-20.414806
2023,7065152,Zack Greinke,SL,7.5154786,14.30592
2023,7065153,Zack Greinke,SI,9.349582,-15.359533
2023,7065058,Zack Greinke,FF,15.236922,-5.2198405
2023,7065059,Zack Greinke,SL,2.2949347,13.130919
2023,7065143,Zack Greinke,CU,-13.142045,12.642357
2023,7065144,Zack Greinke,FF,15.119651,1.1994888
2023,7065145,Zack Greinke,SI,8.626673,-17.279934
2023,7065025,Zack Greinke,CU,-12.881058,9.27739
2023,7065026,Zack Greinke,SL,4.8545647,11.169629
2023,7065027,Zack Greinke,FC,-0.3279743,6.83233
2023,7065028,Zack Greinke,CU,-9.905756,10.392647
2023,7065029,Zack Greinke,FF,14.01644,-2.65973
2023,7065083,Zack Greinke,FC,2.0176685,8.689158
2023,7065084,Zack Greinke,CH,5.718967,-16.674677
2023,7065085,Zack Greinke,SI,8.105954,-13.044627
2023,7065086,Zack Greinke,SL,1.7219282,13.565545
2023,7065087,Zack Greinke,SL,1.1904219,14.388336
2023,7065088,Zack Greinke,FC,1.7320793,8.433864
2023,7065154,Zack Greinke,CH,6.264549,-12.398782
2023,7065155,Zack Greinke,SL,1.2899003,11.571006
2023,7065156,Zack Greinke,SL,1.6409924,10.444786
2023,7065030,Zack Greinke,CU,-13.587901,12.901833
2023,7065031,Zack Greinke,CU,-15.826769,12.927583
2023,7065089,Zack Greinke,FF,12.041496,1.171832
2023,7065090,Zack Greinke,CH,3.5561953,-15.222167
2023,7065091,Zack Greinke,CU,-12.315829,14.14677
2023,7065176,Zack Greinke,CH,2.5577881,-13.442869
2023,7065177,Zack Greinke,CH,4.1414785,-15.164247
2023,7065178,Zack Greinke,SI,6.1824613,-15.546118
2023,7065179,Zack Greinke,SL,4.1817765,18.683483
2023,7065180,Zack Greinke,SI,9.84084,-15.262343
2023,7065043,Zack Greinke,CU,-13.11844,11.664799
2023,7065044,Zack Greinke,SL,5.8993506,10.178629
2023,7065122,Zack Greinke,FF,10.2829275,4.1402526
2023,7065123,Zack Greinke,SI,6.7803736,-14.460794
2023,7065124,Zack Greinke,CU,-16.160416,9.193624
2023,7065125,Zack Greinke,CU,-12.824969,11.7447
2023,7065032,Zack Greinke,SL,4.7745214,13.85731
2023,7065033,Zack Greinke,CU,-12.494825,14.088139
2023,7065034,Zack Greinke,CH,3.8937383,-12.5723295
2023,7065035,Zack Greinke,CU,-16.65796,11.028858
2023,7065112,Zack Greinke,SL,1.3283119,8.762559
2023,7065113,Zack Greinke,CU,-14.165817,11.647555
2023,7065114,Zack Greinke,CH,2.4719455,-14.397334
2023,7065115,Zack Greinke,CH,4.8150163,-16.010588
2023,7065116,Zack Greinke,CU,-15.450382,9.100355
2023,7065117,Zack Greinke,SI,10.92649,-20.2173
2023,7065118,Zack Greinke,SI,8.412649,-16.134508
2023,7065119,Zack Greinke,CU,-14.274801,14.107859
2023,7065181,Zack Greinke,CU,-13.705318,13.522865
2023,7065182,Zack Greinke,CU,-12.997344,14.69135
2023,7065183,Zack Greinke,CU,-12.842396,13.498193
2023,7065036,Zack Greinke,SL,0.17784484,11.058676
2023,7065037,Zack Greinke,SL,-0.3289153,9.611983
2023,7065038,Zack Greinke,SL,-3.1133652,11.104016
2023,7065039,Zack Greinke,SL,-0.7755249,11.043528
2023,7065040,Zack Greinke,SI,5.998051,-10.121901
2023,7065041,Zack Greinke,FC,-1.6893104,9.15323
2023,7065042,Zack Greinke,SL,7.363788,13.431501
2023,7065120,Zack Greinke,SI,7.2916455,-18.937906
2023,7065121,Zack Greinke,FC,9.310511,2.6233234
2023,7065184,Zack Greinke,SI,11.022098,-17.309189
2023,7084665,Jesse Chavez,FC,12.899429,-5.393138
2023,7084666,Jesse Chavez,SI,6.2669725,-21.126331
2023,7084667,Jesse Chavez,FC,9.582614,-3.6323094
2023,7084668,Jesse Chavez,FC,13.630904,-4.467322
2023,7084661,Jesse Chavez,FC,10.091807,-6.8030343
2023,7084662,Jesse Chavez,SI,7.9817715,-23.380621
2023,7084663,Jesse Chavez,FC,10.231141,-2.924417
2023,7084664,Jesse Chavez,SI,8.89718,-19.47251
2023,7084677,Jesse Chavez,FC,13.235167,-2.5265152
2023,7084678,Jesse Chavez,FC,14.054473,-5.9699035
2023,7084679,Jesse Chavez,SI,6.683875,-26.067366
2023,7084680,Jesse Chavez,CH,2.93173,-22.31054
2023,7084681,Jesse Chavez,CH,2.4240959,-21.503616
2023,7084657,Jesse Chavez,FC,11.723789,-3.870644
2023,7084658,Jesse Chavez,SI,6.5588045,-23.188534
2023,7084659,Jesse Chavez,SI,5.118223,-18.70364
2023,7084660,Jesse Chavez,SI,8.0490055,-21.602238
2023,7084682,Jesse Chavez,FC,16.806503,-2.338406
2023,7084683,Jesse Chavez,FC,13.928824,-4.558956
2023,7084684,Jesse Chavez,FC,11.934695,-4.339712
2023,7084685,Jesse Chavez,FC,14.399099,-3.580631
2023,7084686,Jesse Chavez,SI,8.398647,-20.478977
2023,7084687,Jesse Chavez,FC,13.678124,-1.9334267
2023,7084688,Jesse Chavez,FC,13.678124,-1.9334267
2023,7081247,Corey Kluber,CU,11.717947,6.087269
2023,7081248,Corey Kluber,FC,11.65142,2.7957833
2023,7081332,Corey Kluber,CU,2.6633987,11.574853
2023,7081333,Corey Kluber,FC,7.971038,4.876076
2023,7081283,Corey Kluber,FC,9.0137205,4.09908
2023,7081284,Corey Kluber,SI,6.5007515,-15.179534
2023,7081337,Corey Kluber,SI,8.942179,-16.287886
2023,7081229,Corey Kluber,CU,1.8370012,18.274729
2023,7081230,Corey Kluber,SI,6.331744,-21.056847
2023,7081231,Corey Kluber,FC,8.692308,3.7836056
2023,7081232,Corey Kluber,SI,7.678042,-20.282345
2023,7081233,Corey Kluber,SI,11.838103,-21.729544
2023,7081234,Corey Kluber,FC,10.121312,2.8728895
2023,7081310,Corey Kluber,FC,8.792519,2.0785255
2023,7081311,Corey Kluber,FF,10.211078,-14.947728
2023,7081273,Corey Kluber,SI,9.437884,-25.12903
2023,7081274,Corey Kluber,FC,9.629865,1.4706024
2023,7081275,Corey Kluber,CH,1.0525002,-16.503813
2023,7081276,Corey Kluber,SI,6.532417,-17.275198
2023,7081277,Corey Kluber,FC,7.8159246,5.63066
2023,7081278,Corey Kluber,CH,5.7599287,-20.135286
2023,7081279,Corey Kluber,SI,7.517434,-14.622335
2023,7081280,Corey Kluber,FC,14.874745,-4.97217
2023,7081281,Corey Kluber,CH,9.36954,-21.883017
2023,7081282,Corey Kluber,SI,4.9174557,-22.558918
2023,7081336,Corey Kluber,CU,1.7652276,18.24362
2023,7081221,Corey Kluber,SI,8.445089,-16.80413
2023,7081222,Corey Kluber,SI,7.507505,-18.10774
2023,7081223,Corey Kluber,CH,2.1928566,-17.742067
2023,7081224,Corey Kluber,CU,3.3984993,15.418985
2023,7081225,Corey Kluber,SI,5.6447177,-19.832779
2023,7081303,Corey Kluber,CU,0.945315,18.03904
2023,7081338,Corey Kluber,FC,13.133466,-0.31539857
2023,7081339,Corey Kluber,UN,,
2023,7081340,Corey Kluber,FC,5.75543,1.6133499
2023,7081341,Corey Kluber,CU,2.0415213,13.874193
2023,7081342,Corey Kluber,SI,5.7737803,-21.544262
2023,7081343,Corey Kluber,CH,2.9408066,-15.694427
2023,7081344,Corey Kluber,FC,6.9706087,2.8150818
2023,7081345,Corey Kluber,FC,6.9706087,2.8150818
2023,7081235,Corey Kluber,SI,7.3235097,-20.021282
2023,7081236,Corey Kluber,FC,9.270888,5.9134426
2023,7081237,Corey Kluber,CU,2.6812844,10.166219
2023,7081238,Corey Kluber,CU,5.3807592,9.988087
2023,7081239,Corey Kluber,CH,5.0718784,-18.128284
2023,7081240,Corey Kluber,CU,2.380874,11.884557
2023,7081241,Corey Kluber,CU,2.380874,11.884557
2023,7081312,Corey Kluber,CU,6.81299,9.637061
2023,7081313,Corey Kluber,CU,1.0631803,15.998882
2023,7081314,Corey Kluber,FC,8.745989,2.9761703
2023,7081315,Corey Kluber,CU,6.13625,12.257275
2023,7081316,Corey Kluber,FC,4.476597,3.7742198
2023,7081317,Corey Kluber,FC,8.631103,4.3051066
2023,7081226,Corey Kluber,SI,11.117488,-16.290695
2023,7081227,Corey Kluber,SI,10.891528,-16.067299
2023,7081228,Corey Kluber,SI,14.362676,-13.529842
2023,7081304,Corey Kluber,FF,8.65647,-14.459535
2023,7081305,Corey Kluber,CH,5.3289123,-12.847365
2023,7081306,Corey Kluber,FC,8.106475,-1.1452172
2023,7081307,Corey Kluber,CH,4.29956,-22.034756
2023,7081308,Corey Kluber,CU,4.2126865,15.478074
2023,7081309,Corey Kluber,SI,8.51902,-16.92555
2023,7081267,Corey Kluber,SI,8.296464,-15.546925
2023,7081268,Corey Kluber,SI,8.0728,-18.266039
2023,7081269,Corey Kluber,CU,4.930424,4.7611375
2023,7081270,Corey Kluber,SI,4.9703116,-23.566603
2023,7081271,Corey Kluber,CU,7.1447997,11.751729
2023,7081272,Corey Kluber,CU,7.4110713,15.052348
2023,7081334,Corey Kluber,FF,8.379608,-14.305668
2023,7081335,Corey Kluber,FC,10.626954,4.920175
2023,7081242,Corey Kluber,SI,8.287839,-20.336588
2023,7081243,Corey Kluber,CU,-0.003441314,13.671289
2023,7081244,Corey Kluber,CU,0.94139916,10.843803
2023,7081245,Corey Kluber,SI,1.7609283,-21.355644
2023,7081246,Corey Kluber,SI,12.059703,-22.630749
2023,7081327,Corey Kluber,CU,3.2105253,19.350412
2023,7081328,Corey Kluber,SI,12.048047,-18.05302
2023,7081329,Corey Kluber,CH,4.6656322,-20.33926
2023,7081330,Corey Kluber,CU,1.1034838,18.649202
2023,7081331,Corey Kluber,SI,8.056595,-18.130184
2023,7084203,Max Scherzer,FF,17.424603,-12.790726
2023,7084204,Max Scherzer,SL,3.685316,0.4707723
2023,7084205,Max Scherzer,SL,2.6011455,-0.6801281
2023,7084282,Max Scherzer,CU,-9.827609,22.166136
2023,7084283,Max Scherzer,FF,16.647211,-13.819096
2023,7084284,Max Scherzer,FF,16.29782,-12.902201
2023,7084285,Max Scherzer,FF,15.832857,-10.845963
2023,7084286,Max Scherzer,SL,0.19300416,4.05434
2023,7084287,Max Scherzer,CH,1.4692899,-17.139017
2023,7084288,Max Scherzer,FF,11.637499,-12.263958
2023,7084361,Max Scherzer,FF,16.14159,-12.6682415
2023,7084362,Max Scherzer,FF,16.14159,-12.6682415
